"Azure Well-Architected Azure Virtual Desktop workload - Jul 7, 2026 - 11:53:35 PM",,,,,
,,,,,
,,,,,
Your overall results,Excellent,'0/0',,,
,,,,,
,,,,,
What is Azure Virtual Desktop?,https://learn.microsoft.com/azure/virtual-desktop/overview,,,,
Enterprise-scale support for Microsoft Azure Virtual Desktop,https://learn.microsoft.com/azure/cloud-adoption-framework/scenarios/wvd/enterprise-scale-landing-zone,,,,
Deliver remote desktops and apps with Azure Virtual Desktop,https://learn.microsoft.com/training/paths/m365-wvd/,,,,
,,,,,
Category,Link-Text,Link,Priority,ReportingCategory,ReportingSubcategory,Weight,Context,CompleteY/N,Note
-----------,,,,,
,,,,,
Category,Question,Answers,Selected Answer,Note
Azure Virtual Desktop - Security and identity and access management (IAM),What's your identity and access management (IAM) strategy for Azure Virtual Desktop?,"We create a dedicated user account with least privileges. When we deploy session hosts, we use this account to join the session hosts to a Microsoft Entra Domain Services or Active Directory Domain Services (AD DS) domain.",,,
Azure Virtual Desktop - Security and identity and access management (IAM),What's your identity and access management (IAM) strategy for Azure Virtual Desktop?,"We require multifactor authentication for all users and admins in Azure Virtual Desktop. ",,,
Azure Virtual Desktop - Security and identity and access management (IAM),What's your identity and access management (IAM) strategy for Azure Virtual Desktop?,We use Microsoft Entra ID Conditional Access to manage risks before we grant users access to our Azure Virtual Desktop environment.,,,
Azure Virtual Desktop - Security and identity and access management (IAM),What's your identity and access management (IAM) strategy for Azure Virtual Desktop?,None of the above,,,
Azure Virtual Desktop - Security and identity and access management (IAM),How do you implement network security in Azure Virtual Desktop?,We use a hub-spoke architecture to keep workload-specific resources in their own virtual network that's separate from hub shared services like management and Domain Name System (DNS) services.,,,
Azure Virtual Desktop - Security and identity and access management (IAM),How do you implement network security in Azure Virtual Desktop?,We use network security groups to filter network traffic to and from our Azure Virtual Desktop workload.,,,
Azure Virtual Desktop - Security and identity and access management (IAM),How do you implement network security in Azure Virtual Desktop?,We isolate our host pools by placing each host pool in a separate virtual network. We use network security groups with the URLs that Azure Virtual Desktop requires for each subnet.,,,
Azure Virtual Desktop - Security and identity and access management (IAM),How do you implement network security in Azure Virtual Desktop?,We rigorously enforce network and application security.,,,
Azure Virtual Desktop - Security and identity and access management (IAM),How do you implement network security in Azure Virtual Desktop?,"We disable or block the Remote Desktop Protocol (RDP) port to avoid direct RDP access to session hosts. If we need direct RDP access for administrative purposes or troubleshooting, we use Azure Bastion to connect to session hosts.",,,
Azure Virtual Desktop - Security and identity and access management (IAM),How do you implement network security in Azure Virtual Desktop?,"We use Azure Private Link with Azure Virtual Desktop to keep traffic within the Microsoft network and avoid exposing our service to the public internet, or we use a virtual private network (VPN) or Azure ExpressRoute so that users with a Remote Desktop client can connect to our virtual network.",,,
Azure Virtual Desktop - Security and identity and access management (IAM),How do you implement network security in Azure Virtual Desktop?,We use Azure Firewall to help protect Azure Virtual Desktop.,,,
Azure Virtual Desktop - Security and identity and access management (IAM),How do you implement network security in Azure Virtual Desktop?,None of the above,,,
Azure Virtual Desktop - Security and identity and access management (IAM),How do you encrypt data in transit in Azure Virtual Desktop?,We understand how Azure Virtual Desktop encrypts data in transit and how reverse connect transport works.,,,
Azure Virtual Desktop - Security and identity and access management (IAM),How do you encrypt data in transit in Azure Virtual Desktop?,We've made sure that client computers and our session hosts can use the TLS 1.2 ciphers that Azure Front Door uses.,,,
Azure Virtual Desktop - Security and identity and access management (IAM),How do you encrypt data in transit in Azure Virtual Desktop?,None of the above,,,
Azure Virtual Desktop - Security and identity and access management (IAM),How do you encrypt data in use in Azure Virtual Desktop?,We use confidential computing to protect data in use.,,,
Azure Virtual Desktop - Security and identity and access management (IAM),How do you encrypt data in use in Azure Virtual Desktop?,We use the Azure DCasv5 and ECasv5 confidential VM series to build a hardware-based trusted execution environment (TEE).,,,
Azure Virtual Desktop - Security and identity and access management (IAM),How do you encrypt data in use in Azure Virtual Desktop?,None of the above,,,
Azure Virtual Desktop - Operational procedures,"In Azure Virtual Desktop, do you know which components Microsoft manages and which components you're responsible for managing?",We're aware of our responsibilities under the shared-responsibility model.,,,
Azure Virtual Desktop - Operational procedures,"In Azure Virtual Desktop, do you know which components Microsoft manages and which components you're responsible for managing?","We ensure that our organization actively manages components that fall under the customer's responsibility, such as our network topology, our session hosts, and our workspace.",,,
